,iter_id,drnet_bias_att_out,drnet_policy_risk_out,drnet_bias_att_in,drnet_policy_risk_in
0,0,0.08003737874645062,0.14719464033422636,0.043713694647332685,0.10001984679990117
1,1,0.20546324435882984,0.13075131230042825,0.09641850155804044,0.09068666747118448
2,2,0.04880816103860333,0.14667005978258563,0.04912586054825838,0.09612711647807448
3,3,0.0072474236038794215,0.10564264908301868,0.06452647544168172,0.10811803444949775
4,4,0.1650941534327217,0.09020526402048401,0.03212935701833597,0.11031789273430637
5,5,0.11482183923703654,0.14725573493479072,0.09559582889184037,0.10382878687314556
6,6,0.022042631134636698,0.1521687035861008,0.11523972671041083,0.10787000685672465
7,7,0.053875368505878485,0.14485057451087346,0.09481066900577184,0.10734667619248062
8,8,0.021940823992193714,0.11131302655737385,0.0704899920867752,0.10610814246978328
9,9,0.15906396692980107,0.14386908330632808,0.11523577484420719,0.14198915429862802
