,iter_id,drnet_bias_att_out,drnet_policy_risk_out,drnet_bias_att_in,drnet_policy_risk_in
0,0,0.09931206849708846,0.16572750597098918,0.06519000088769938,0.09558488301723922
1,1,0.22840776824581896,0.14111098232630614,0.1127508930024951,0.10658376817373605
2,2,0.10263187679124874,0.15529595017058262,0.09896370101884028,0.10527347089910111
3,3,0.04578522390927722,0.10824988883765874,0.09952157044182128,0.11287187455193193
4,4,0.14280121455018865,0.09841401344054912,0.00948437103718347,0.11808519144040819
5,5,0.10901953856944055,0.11270823837682176,0.08236978446075735,0.10293742296235231
6,6,0.019124536302906586,0.09363133562958081,0.07909788410827187,0.10389980621695616
7,7,0.06490224635289923,0.1399498849413109,0.1020703606762538,0.10070215975087138
8,8,0.04388509008801389,0.11998904535584864,0.09393538661819847,0.10686859582127961
9,9,0.13368298853748314,0.11296660665975222,0.09270669106399693,0.1194442750753606
