,iter_id,drnet_bias_att_out,drnet_policy_risk_out,drnet_bias_att_in,drnet_policy_risk_in
0,0,0.032039785884833236,0.12615864849532743,0.07444191844916626,0.0946081236773102
1,1,0.0919048377466044,0.12048156082535366,0.010496237754477236,0.08254127041506676
2,2,0.054913334726319776,0.1240257144957968,0.05608953729703664,0.09313470681571134
3,3,0.03972290528217702,0.09689476547000886,0.012296821041453451,0.09149231656237067
4,4,0.032320801438828636,0.07486370725682046,0.09754374216711637,0.10278838470331564
5,5,0.009852728996033414,0.11622237040427086,0.034271556525563164,0.09204142081595379
6,6,0.07041084861753384,0.086901473072447,0.017224024663624285,0.09391917750253609
7,7,0.03330637013395044,0.12009822370501821,0.007200819582631315,0.09313008096509101
8,8,0.10206688244748016,0.12147859301279151,0.06775181985175903,0.09694636314547833
9,9,0.05010422816931359,0.09639264157120486,0.0864948667370091,0.10453541839092795
