,iter_id,drnet_bias_att_out,drnet_policy_risk_out,drnet_bias_att_in,drnet_policy_risk_in
0,0,0.14486800279945522,0.16251578682994205,0.1074017930229677,0.10812008711587473
1,1,0.21690642966649168,0.1324043370232193,0.10484515272766701,0.09843000646782807
2,2,0.08227861297808575,0.12322075553489442,0.08379019208568786,0.09837000219217074
3,3,0.02511916621929311,0.1126056965514124,0.08954701682227126,0.11303472364784262
4,4,0.1916158688908979,0.0915516721028381,0.061590555723106205,0.11436032639409255
5,5,0.1047069415953018,0.12630616977506048,0.08504540805001715,0.10246550478992233
6,6,0.044322204979975965,0.11353528087509934,0.050789950144181736,0.11053900995943544
7,7,0.021927671715886762,0.12185462378164025,0.05677010529065696,0.10096252833473118
8,8,0.00514735287849126,0.12172581651786518,0.0496996282651536,0.10383481324974275
9,9,0.08868127254027111,0.10482866056101803,0.043907685115611134,0.11444377863875
