,iter_id,drnet_bias_att_out,drnet_policy_risk_out,drnet_bias_att_in,drnet_policy_risk_in
0,0,0.1677767996623719,0.1584967049169238,0.13212526952036335,0.11755637049349854
1,1,0.14198986078379677,0.143522280992761,0.03207000911945748,0.0897642589056089
2,2,0.1458621813761986,0.14270840248176908,0.1466553863507011,0.10239478958779102
3,3,0.010737117718753367,0.11303854120387447,0.046126552774265916,0.10742923631275403
4,4,0.23826954631723238,0.14672952927033145,0.10475638217962344,0.11812596535495723
5,5,0.09581915073222155,0.10926470432813551,0.06982702713277067,0.10066232030436739
6,6,0.014207545743488453,0.09543361794852745,0.08246696329449404,0.10829730308489205
7,7,0.036610023279231685,0.13474080560677615,0.07388542876276294,0.10096620438370707
8,8,0.02523274909186707,0.10557221691485952,0.07193912949898126,0.10498280455259457
9,9,0.18493477979894268,0.14374837748111668,0.14186815261495184,0.12066027882850905
